,Title,Artist,Year,Rank
418,Fight Song,Rachel Platten,2015,20
419,679,Fetty Wap Featuring Remy Boyz,2015,21
420,Lips Are Movin, Meghan Trainor,2015,22
421,Worth It,Fifth Harmony Featuring Kid Ink,2015,23
422,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015,24
423,"Honey, I'm Good.",Andy Grammer,2015,25
424,I'm Not The Only One,Sam Smith,2015,26
425,Good For You,Selena Gomez Featuring A$AP Rocky,2015,27
426,All About That Bass,Meghan Trainor,2015,28
427,Style,Taylor Swift,2015,29
428,Hotline Bling,Drake,2015,30
429,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,31
430,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015,32
431,What Do You Mean?,Justin Bieber,2015,33
432,Photograph,Ed Sheeran,2015,34
433,Hello,Adele,2015,35
434,Stitches,Shawn Mendes,2015,36
435,Talking Body,Tove Lo,2015,37
436, Jealous,Nick Jonas,2015,38
437,Time Of Our Lives,Pitbull & Ne-Yo,2015,39
438,Locked Away,R. City Featuring Adam Levine,2015,40
439,Somebody,Natalie La Rose Featuring Jeremih,2015,41
440,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,42
441,Centuries,Fall Out Boy,2015,43
442,My Way,Fetty Wap Featuring Monty,2015,44
443,Take Your Time,Sam Hunt,2015,45
444,Animals,Maroon 5,2015,46
445,I Don't F**k With You,Big Sean Featuring E-40,2015,47
446,B**** Better Have My Money,Rihanna,2015,48
447,Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,49
448,Nasty Freestyle,T-Wayne,2015,50
449,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,51
450,Elastic Heart,Sia,2015,52
451,Cool For The Summer,Demi Lovato,2015,53
452,Renegades,X Ambassadors,2015,54
453,I Don't Mind,Usher Featuring Juicy J,2015,55
454,Love Me Harder,Ariana Grande & The Weeknd,2015,56
455,Wildest Dreams,Taylor Swift,2015,57
456,Stay With Me,Sam Smith,2015,58
457,You Know You Like It,DJ Snake & AlunaGeorge,2015,59
458,Uma Thurman,Fall Out Boy,2015,60
459,7/11,Beyonce,2015,61
460,The Heart Wants What It Wants,Selena Gomez,2015,62
461,Girl Crush,Little Big Town,2015,63
462,Slow Motion,Trey Songz,2015,64
463,Drag Me Down,One Direction,2015,65
464,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015,66
465,One Last Time,Ariana Grande,2015,67
466,Chains,Nick Jonas,2015,68
467,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015,69
468,No Type,Rae Sremmurd,2015,70
469,Riptide  ,Vance Joy,2015,71
470,Classic Man,Jidenna Featuring Roman GianArthur,2015,72
471,Ex's & Oh's,Elle King,2015,73
472,Dear Future Husband,Meghan Trainor,2015,74
473,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015,75
474,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015,76
475,Habits (Stay High),Tove Lo,2015,77
476,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015,78
477,CoCo,O.T. Genasis,2015,79
478,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,80
479,Lay Me Down  ,Sam Smith,2015,81
480,Tuesday,I LOVE MAKONNEN Featuring Drake,2015,82
481,Hit The Quan,iLoveMemphis,2015,83
482,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015,84
483,House Party,Sam Hunt,2015,85
484,Ayo,Chris Brown & Tyga,2015,86
485,Kick The Dust Up,Luke Bryan,2015,87
486,Blessings,Big Sean Featuring Drake,2015,88
487,Budapest,George Ezra,2015,89
488,Chandelier,Sia,2015,90
489,Heartbeat Song,Kelly Clarkson,2015,91
490,Don't,Ed Sheeran,2015,92
491,Ghost,Ella Henderson,2015,93
